S.No.|marca modelo|año fabricacion|kilometros|tipo combustible|transmisión|tipo de dueño|rendimiento|motor|potencia|asientos|precio venta
5284|Toyota Fortuner 4x2 AT|2015|100000|Diesel|Automatico|Primer|12.55 kmpl|2982 CC|168.5 bhp|7.0|19000.0
5285|Maruti Celerio VXI|2017|17000|Petroleo|Manual|Primer|23.1 kmpl|998 CC|67.04 bhp|5.0|4900.0
5286|BMW 3 Series 320d Corporate Edition|2008|89000|Diesel|Automatico|Segundo|16.07 kmpl|1995 CC|181 bhp|4.0|6300.0
5287|Honda City ZX VTEC|2006|100173|Petroleo|Manual|Segundo|16.9 kmpl|1497 CC|100 bhp|5.0|2400.0
5288|Mitsubishi Cedia Sports|2009|97000|Petroleo|Manual|Primer|13.17 kmpl|1999 CC|114 bhp|5.0|3000.0
5289|Renault Pulse Petrol RxL|2016|40190|Petroleo|Manual|Primer|18.06 kmpl|1198 CC|74.93 bhp|5.0|4250.0
5290|Volkswagen Polo 1.5 TDI Highline|2016|29647|Diesel|Manual|Primer|20.14 kmpl|1498 CC|88 bhp|5.0|6300.0
5291|Maruti Baleno RS Petrol|2018|43639|Petroleo|Manual|Primer|21.1 kmpl|998 CC|100 bhp|5.0|8150.0
5292|Hyundai i10 Magna|2012|37333|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|3220.0
5293|Hyundai i20 1.2 Spotz|2018|48407|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|7650.0
5294|BMW Z4 2009-2013 35i|2011|25000|Petroleo|Automatico|Primer|10.37 kmpl|2979 CC|306 bhp|2.0|30000.0
5295|Hyundai i10 Sportz 1.2|2010|72400|Petroleo|Manual|Segundo|20.36 kmpl|1197 CC|78.9 bhp|5.0|2300.0
5296|Mini-Cooper S Carbon Edition|2012|18000|Petroleo|Automatico|Primer|13.6 kmpl|1598 CC|181 bhp|4.0|22000.0
5297|Honda Brio V MT|2012|65167|Petroleo|Manual|Primer|19.4 kmpl|1198 CC|86.8 bhp|5.0|3280.0
5298|Maruti Ciaz ZXi Option|2016|25418|Petroleo|Manual|Primer|20.73 kmpl|1373 CC|91.2 bhp|5.0|7090.0
5299|Maruti Swift Dzire ZDi|2013|38995|Diesel|Manual|Primer|19.3 kmpl|1248 CC|73.9 bhp|5.0|6460.0
5300|Volkswagen Polo Diesel Comfortline 1.2L|2012|60000|Diesel|Manual|Primer|22.07 kmpl|1199 CC|73.9 bhp|5.0|4000.0
5301|BMW X1 sDrive20d|2011|72000|Diesel|Automatico|Primer|17.05 kmpl|1995 CC|184 bhp|5.0|11000.0
5302|Audi Q7 3.0 TDI Quattro Premium Plus|2016|31075|Diesel|Automatico|Segundo|12.07 kmpl|2967 CC|241.4 bhp|7.0|49790.0
5303|Ford Figo 1.5D Trend MT|2015|4311|Diesel|Manual|Primer|25.83 kmpl|1498 CC|99 bhp|5.0|4800.0
5304|BMW 3 Series Luxury Line|2017|21000|Diesel|Automatico|Primer|21.76 kmpl|1995 CC|190 bhp|5.0|35000.0
5305|Mercedes-Benz M-Class ML 350 CDI Corporate|2011|54000|Diesel|Automatico|Primer|14.0 kmpl|2987 CC|224 bhp|5.0|21990.0
5306|Maruti Wagon R LX BSIII|2007|50000|Petroleo|Manual|Segundo|17.3 kmpl|1061 CC|64 bhp|5.0|1100.0
5307|Maruti Baleno Zeta 1.2|2018|13000|Petroleo|Manual|Primer|21.4 kmpl|1197 CC|83.1 bhp|5.0|6600.0
5308|Maruti Dzire VXI|2013|74000|Petroleo|Manual|Primer|22.0 kmpl|1197 CC|81.80 bhp|5.0|4500.0
5309|Chevrolet Aveo U-VA 1.2 LT|2009|75000|Petroleo|Manual|Segundo|14.7 kmpl|1150 CC|76 bhp|5.0|1000.0
5310|Volkswagen Polo 1.5 TDI Highline|2017|25000|Diesel|Manual|Primer|20.14 kmpl|1498 CC|88 bhp|5.0|6900.0
5311|Land Rover Freelander 2 TD4 SE|2012|139000|Diesel|Automatico|Primer|0.0 kmpl|2179 CC|115 bhp|5.0|16750.0
5312|Audi Q5 30 TDI quattro Premium|2015|52000|Diesel|Automatico|Primer|14.16 kmpl|1968 CC|174.3 bhp|5.0|25490.0
5313|Audi A6 35 TDI Matrix|2015|20000|Diesel|Automatico|Primer|18.53 kmpl|1968 CC|187.74 bhp|5.0|35500.0
5314|Hyundai Grand i10 1.2 CRDi Sportz|2018|32663|Diesel|Manual|Primer|24.0 kmpl|1186 CC|73.97 bhp|5.0|6280.0
5315|Mahindra Scorpio SLE BSIV|2012|76777|Diesel|Manual|Segundo|12.05 kmpl|2179 CC|120 bhp|8.0|4880.0
5316|Tata Bolt Quadrajet XE|2016|100303|Diesel|Manual|Primer|22.95 kmpl|1248 CC|74 bhp|5.0|3700.0
5317|Hyundai EON Era Plus|2015|43993|Petroleo|Manual|Primer|21.1 kmpl|814 CC|55.2 bhp|5.0|3450.0
5318|Mahindra Scorpio S8 8 Seater|2016|72118|Diesel|Manual|Primer|15.4 kmpl|2179 CC|120 bhp|8.0|10230.0
5319|Honda Accord 2001-2003 2.0 AT|2010|83000|Petroleo|Automatico|Segundo|11.1 kmpl|2354 CC|142 bhp|5.0|6500.0
5320|Volkswagen Polo 1.2 MPI Highline|2016|7523|Petroleo|Manual|Primer|16.2 kmpl|1199 CC|74 bhp|5.0|6150.0
5321|Maruti Eeco 7 Seater Standard|2014|34670|Petroleo|Manual|Primer|15.1 kmpl|1196 CC|73 bhp|7.0|2900.0
5322|Hyundai Grand i10 CRDi Sportz|2016|30000|Diesel|Manual|Primer|24.0 kmpl|1120 CC|70 bhp|5.0|5500.0
5323|Ford Endeavour 3.2 Titanium AT 4X4|2017|17000|Diesel|Automatico|Primer|10.91 kmpl|3198 CC|197 bhp|7.0|31000.0
5324|Hyundai Grand i10 1.2 CRDi Sportz|2015|59261|Diesel|Manual|Primer|24.0 kmpl|1186 CC|73.97 bhp|5.0|4250.0
5325|Maruti Swift VDI|2016|65210|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|5480.0
5326|Hyundai i20 1.2 Asta Option|2016|19000|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|7250.0
5327|Maruti Swift Dzire VXi|2012|50000|Petroleo|Manual|Primer|17.5 kmpl|1298 CC|85.8 bhp|5.0|3000.0
5328|BMW 3 Series 320d Luxury Line|2015|47000|Diesel|Automatico|Primer|22.69 kmpl|1995 CC|190 bhp|5.0|29500.0
5329|Honda City ZX GXi|2007|75000|Petroleo|Manual|Segundo|17.7 kmpl|1497 CC|78 bhp|5.0|1490.0
5330|Hyundai i10 Sportz 1.2 AT|2013|54534|Petroleo|Automatico|Primer|16.95 kmpl|1197 CC|78.9 bhp|5.0|3650.0
5331|Ford Ecosport Signature Edition Diesel|2018|13000|Diesel|Manual|Primer|23.0 kmpl|1498 CC|98.96 bhp|5.0|10900.0
5332|Maruti Celerio ZXI MT|2015|48808|Petroleo|Manual|Primer|23.1 kmpl|998 CC|67.04 bhp|5.0|4300.0
5333|Maruti Ertiga VDI|2012|63001|Diesel|Manual|Segundo|20.77 kmpl|1248 CC|88.76 bhp|7.0|6110.0
5334|Toyota Innova 2.5 V Diesel 8-seater|2015|64771|Diesel|Manual|Primer|12.8 kmpl|2494 CC|102 bhp|8.0|15500.0
5335|Honda City i VTEC SV|2016|34634|Petroleo|Manual|Primer|17.8 kmpl|1497 CC|117.3 bhp|5.0|6900.0
5336|Maruti Swift Dzire VXI|2012|69242|Petroleo|Manual|Primer|19.1 kmpl|1197 CC|85.8 bhp|5.0|4690.0
5337|Maruti Ritz LXi|2011|33292|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|85.80 bhp|5.0|3190.0
5338|Hyundai i20 Sportz AT 1.4|2012|55000|Petroleo|Automatico|Segundo|15.0 kmpl|1396 CC|98.6 bhp|5.0|3750.0
5339|Hyundai i20 Active SX Dual Tone Petrol|2019|1000|Petroleo|Manual|Primer|17.19 kmpl|1197 CC|81.86 bhp|5.0|8600.0
5340|Honda City 1.5 E MT|2011|80000|Petroleo|Manual|Segundo|17.0 kmpl|1497 CC|118 bhp|5.0|3850.0
5341|Porsche Cayenne S Diesel|2016|65003|Diesel|Automatico|Primer|13.6 kmpl|4134 CC|382 bhp|5.0|67830.0
5342|Honda Amaze VX i-VTEC|2019|16573|Petroleo|Manual|Primer|17.8 kmpl|1198 CC|86.7 bhp|5.0|9310.0
5343|Honda Civic 2006-2010 1.8 S AT|2008|152633|Petroleo|Automatico|Primer|12.9 kmpl|1799 CC|130 bhp|5.0|3000.0
5344|Hyundai i20 Magna 1.2|2015|53000|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|5500.0
5345|Hyundai Creta 1.6 CRDi SX|2017|50129|Diesel|Manual|Primer|19.67 kmpl|1582 CC|126.2 bhp|5.0|13300.0
5346|Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus|2013|63716|Diesel|Automatico|Primer|15.73 kmpl|1968 CC|174.33 bhp|5.0|23000.0
5347|Maruti Alto 800 2016-2019 LXI|2018|11000|Petroleo|Manual|Primer|24.7 kmpl|796 CC|47.3 bhp|5.0|3350.0
5348|BMW X1 sDrive 20d Exclusive|2012|115000|Diesel|Automatico|Tercer|15.06 kmpl|1995 CC|177 bhp|5.0|10000.0
5349|Hyundai i10 Magna|2013|63265|Petroleo|Manual|Primer|20.36 kmpl|1197 CC|78.9 bhp|5.0|2950.0
5350|Volkswagen Ameo 1.5 TDI Highline|2016|20000|Diesel|Manual|Primer|21.66 kmpl|1498 CC|108.62 bhp|5.0|6750.0
5351|Volkswagen Polo Petrol Highline 1.2L|2010|79000|Petroleo|Manual|Tercer|16.47 kmpl|1198 CC|73.9 bhp|5.0|2440.0
5352|Maruti Ciaz VXi Plus|2015|41000|Petroleo|Manual|Primer|20.73 kmpl|1373 CC|91.1 bhp|5.0|5850.0
5353|Volkswagen Polo GT TSI|2015|26323|Petroleo|Automatico|Primer|17.21 kmpl|1197 CC|103.5 bhp|5.0|7400.0
5354|Hyundai Xcent 1.1 CRDi Base|2016|76000|Diesel|Manual|Primer|24.4 kmpl|1120 CC|71 bhp|5.0|3800.0
5355|Honda Civic 2006-2010 1.8 S MT|2008|69972|Petroleo|Manual|Primer|13.5 kmpl|1799 CC|130 bhp|5.0|3800.0
5356|Honda City ZX GXi|2008|69000|Petroleo|Manual|Primer|17.7 kmpl|1497 CC|78 bhp|5.0|2700.0
5357|Mahindra Bolero ZLX|2016|65000|Diesel|Manual|Primer|15.96 kmpl|2523 CC|62.1 bhp|7.0|7210.0
5358|Honda City i VTEC V|2016|29512|Petroleo|Manual|Primer|17.4 kmpl|1497 CC|117.3 bhp|5.0|7900.0
5359|Hyundai Xcent 1.2 CRDi S|2017|51000|Diesel|Manual|Primer|25.4 kmpl|1186 CC|73.97 bhp|5.0|4200.0
5360|Renault Duster 110PS Diesel RxL|2014|58003|Diesel|Manual|Primer|19.01 kmpl|1461 CC|108.45 bhp|5.0|5750.0
5361|Maruti A-Star AT VXI|2013|56500|Petroleo|Automatico|Primer|16.98 kmpl|998 CC|66.1 bhp|5.0|3450.0
5362|Audi A4 2.0 TDI 177 Bhp Premium Plus|2014|29063|Diesel|Automatico|Primer|17.11 kmpl|1968 CC|174.33 bhp|5.0|25750.0
5363|Mahindra XUV500 W8 2WD|2018|46811|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|16590.0
5364|Renault Pulse Petrol RxZ|2014|31897|Petroleo|Manual|Primer|18.06 kmpl|1198 CC|74.96 bhp|5.0|4690.0
5365|BMW 3 Series 320d|2009|52100|Diesel|Automatico|Segundo|13.2 kmpl|1995 CC|170 bhp|5.0|7500.0
5366|Toyota Innova Crysta 2.4 GX MT|2016|73000|Diesel|Manual|Primer|13.68 kmpl|2393 CC|147.8 bhp|7.0|16500.0
5367|Honda City 1.5 S MT|2009|31423|Petroleo|Manual|Primer|17.0 kmpl|1497 CC|118 bhp|5.0|1990.0
5368|Maruti Swift VDI|2014|75180|Diesel|Manual|Primer|22.9 kmpl|1248 CC|74 bhp|5.0|5250.0
5369|Renault Duster 110PS Diesel RxZ Plus|2013|75000|Diesel|Manual|Segundo|19.64 kmpl|1461 CC|108.45 bhp|5.0|5400.0
5370|Volkswagen Polo 1.2 MPI Comfortline|2014|15000|Petroleo|Manual|Primer|16.47 kmpl|1198 CC|74 bhp|5.0|3900.0
5371|Hyundai i20 Active 1.2 S|2015|12000|Petroleo|Manual|Primer|17.19 kmpl|1197 CC|81.86 bhp|5.0|5800.0
5372|BMW 5 Series 2013-2017 520d Luxury Line|2014|32000|Diesel|Automatico|Primer|18.12 kmpl|1995 CC|190 bhp|5.0|30500.0
5373|Maruti Swift Dzire LDI|2017|44504|Diesel|Manual|Primer|23.4 kmpl|1248 CC|74 bhp|5.0|5600.0
5374|Mercedes-Benz M-Class ML 350 4Matic|2012|66000|Diesel|Automatico|Primer|0.0 kmpl|2987 CC|165 bhp|5.0|23000.0
5375|Maruti Swift LDI|2015|39437|Diesel|Manual|Primer|28.4 kmpl|1248 CC|74 bhp|5.0|5150.0
5376|Hyundai Verna 1.6 CRDI AT SX Option|2017|36931|Diesel|Automatico|Primer|19.08 kmpl|1582 CC|126.2 bhp|5.0|9480.0
5377|Tata Nano XTA|2016|17800|Petroleo|Automatico|Segundo|21.9 kmpl|624 CC|37.48 bhp|4.0|2380.0
5378|Maruti Swift Dzire LXi|2009|71346|Petroleo|Manual|Primer|17.5 kmpl|1298 CC|85.8 bhp|5.0|3800.0
5379|Hyundai i20 Asta Option 1.2|2015|45000|Petroleo|Manual|Segundo|18.6 kmpl|1197 CC|81.83 bhp|5.0|5500.0
5380|Hyundai i20 1.2 Sportz|2010|85155|Petroleo|Manual|Primer|17.0 kmpl|1197 CC|80 bhp|5.0|3550.0
5381|Maruti Ciaz ZXi|2015|48823|Petroleo|Manual|Primer|20.73 kmpl|1373 CC|91.1 bhp|5.0|6350.0
5382|Land Rover Range Rover 2.2L Prestige|2015|37000|Diesel|Automatico|Primer|12.7 kmpl|2179 CC|187.7 bhp|5.0|36000.0
5383|Tata Indigo LX BSII|2005|92000|Diesel|Manual|Segundo|16.1 kmpl|1405 CC|70 bhp|5.0|1100.0
5384|Tata Zest Revotron 1.2T XM|2014|36000|Petroleo|Manual|Primer|17.57 kmpl|1193 CC|88.7 bhp|5.0|3700.0
5385|Mahindra XUV500 W10 1.99 mHawk|2016|24569|Diesel|Manual|Primer|16.0 kmpl|1997 CC|140 bhp|7.0|13500.0
5386|Honda Accord 2.4 AT|2008|95000|Petroleo|Automatico|Tercer|11.7 kmpl|2354 CC|177.6 bhp|5.0|2850.0
5387|Tata Nano Twist XT|2015|25811|Petroleo|Manual|Segundo|25.4 kmpl|624 CC|37.5 bhp|4.0|2130.0
5388|Hyundai Elantra CRDi S|2015|65000|Diesel|Manual|Primer|22.7 kmpl|1582 CC|126.2 bhp|5.0|7750.0
5389|Tata Indica V2 eLS|2017|100400|Diesel|Manual|Primer|25.0 kmpl|1396 CC|69 bhp|5.0|2850.0
5390|Honda Amaze S i-Dtech|2014|76414|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|4950.0
5391|Mahindra XUV500 W8 2WD|2012|82103|Diesel|Manual|Primer|15.1 kmpl|2179 CC|140 bhp|7.0|6200.0
5392|BMW X3 xDrive 20d Expedition|2013|98000|Diesel|Automatico|Primer|18.56 kmpl|1995 CC|190 bhp|5.0|17500.0
5393|Hyundai Grand i10 1.2 Kappa Magna|2010|45252|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|81.86 bhp|5.0|2250.0
5394|Maruti Baleno Zeta 1.2|2017|10300|Petroleo|Manual|Primer|21.4 kmpl|1197 CC|83.1 bhp|5.0|6750.0
5395|Hyundai Verna 1.6 CRDi AT SX|2016|42024|Diesel|Automatico|Primer|19.08 kmpl|1582 CC|126.2 bhp|5.0|9730.0
5396|Maruti Ertiga VDI|2018|51236|Diesel|Manual|Primer|25.47 kmpl|1248 CC|88.50 bhp|7.0|8490.0
5397|Mini-Cooper S Carbon Edition|2013|52000|Petroleo|Automatico|Primer|13.6 kmpl|1598 CC|181 bhp|4.0|25000.0
5398|Maruti Ritz ZDi|2015|42894|Diesel|Manual|Primer|23.2 kmpl|1248 CC|73.94 bhp|5.0|5590.0
5399|Skoda Laura L n K 1.9 PD AT|2011|68000|Diesel|Automatico|Primer|15.6 kmpl|1896 CC|106 bhp|5.0|4800.0
5400|Ford Ecosport 1.5 DV5 MT Titanium Optional|2014|69000|Diesel|Manual|Primer|22.7 kmpl|1498 CC|89.84 bhp|5.0|5450.0
5401|Hyundai i20 2015-2017 Sportz 1.2|2017|10000|Petroleo|Manual|Primer|18.6 kmpl|1197 CC|81.83 bhp|5.0|6500.0
5402|Honda Brio E MT|2015|16000|Petroleo|Manual|Primer|19.4 kmpl|1198 CC|86.8 bhp|5.0|4350.0
5403|Honda Amaze S i-Dtech|2013|46992|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|3750.0
5404|BMW 5 Series 2003-2012 520d|2010|170000|Diesel|Automatico|Tercer|18.48 kmpl|1995 CC|177 bhp|5.0|12000.0
5405|Audi Q7 3.0 TDI Quattro Premium Plus|2014|58000|Diesel|Automatico|Primer|12.07 kmpl|2967 CC|241.4 bhp|7.0|32000.0
5406|Hyundai Grand i10 CRDi Magna|2015|50000|Diesel|Manual|Segundo|24.0 kmpl|1120 CC|70 bhp|5.0|4000.0
5407|Nissan Micra Diesel XV|2011|39010|Diesel|Manual|Primer|23.08 kmpl|1461 CC|63.1 bhp|5.0|2600.0
5408|Hyundai Grand i10 Sportz|2016|26946|Petroleo|Manual|Primer|18.9 kmpl|1197 CC|82 bhp|5.0|4450.0
5409|Hyundai EON Era|2015|28700|Petroleo|Manual|Primer|21.1 kmpl|814 CC|55.2 bhp|5.0|2600.0
5410|Mercedes-Benz New C-Class C250 Avantgarde|2011|60000|Petroleo|Automatico|Primer|11.74 kmpl|1796 CC|186 bhp|5.0|16000.0
5411|Land Rover Range Rover 2.2L Pure|2014|38999|Diesel|Automatico|Primer|12.7 kmpl|2179 CC|187.7 bhp|5.0|32500.0
5412|Mahindra Ssangyong Rexton RX7|2016|39000|Diesel|Automatico|Primer|11.18 kmpl|2696 CC|184 bhp|7.0|13850.0
5413|Maruti Ciaz 1.4 Delta|2018|7784|Petroleo|Manual|Primer|20.73 kmpl|1373 CC|91.1 bhp|5.0|8760.0
5414|Mercedes-Benz R-Class R350 4Matic Long|2014|45710|Petroleo|Automatico|Primer|11.8 kmpl|3498 CC|272 bhp|7.0|23680.0
5415|Maruti Dzire AMT VXI|2017|42000|Petroleo|Automatico|Primer|22.0 kmpl|1197 CC|81.80 bhp|5.0|5500.0
5416|Land Rover Range Rover Vogue SE 4.4 SDV8|2013|75995|Diesel|Automatico|Segundo|11.49 kmpl|4367 CC|335.3 bhp|5.0|65810.0
5417|Renault Duster 110PS Diesel RxZ|2013|57000|Diesel|Manual|Primer|19.01 kmpl|1461 CC|108.45 bhp|5.0|4990.0
5418|Hyundai Verna 1.6 SX|2013|85350|Diesel|Manual|Segundo|22.32 kmpl|1582 CC|126.32 bhp|5.0|5700.0
5419|Toyota Corolla Altis 1.8 VL CVT|2016|82725|Petroleo|Automatico|Primer|14.28 kmpl|1798 CC|138.03 bhp|5.0|11990.0
5420|BMW 3 Series Sport|2016|19000|Diesel|Automatico|Segundo|21.76 kmpl|1995 CC|190 bhp|5.0|29990.0
5421|Ford EcoSport 1.5 Ti VCT MT Signature|2018|13900|Petroleo|Manual|Primer|18.88 kmpl|1499 CC|110.4 bhp|5.0|9500.0
5422|Maruti Swift VDI BSIV|2014|108000|Diesel|Manual|Primer|25.2 kmpl|1248 CC|74 bhp|5.0|5500.0
5423|Hyundai Santa Fe 4x4 AT|2016|36000|Diesel|Automatico|Primer|11.72 kmpl|2199 CC|194.3 bhp|7.0|23000.0
5424|Tata Indica V2 DLS|2013|62188|Diesel|Manual|Primer|17.2 kmpl|1396 CC|53.5 bhp|5.0|2950.0
5425|Hyundai Grand i10 CRDi Sportz|2015|58397|Diesel|Manual|Primer|24.0 kmpl|1120 CC|70 bhp|5.0|4900.0
5426|Hyundai Santro Xing XL|2006|85000|Petroleo|Manual|Tercer|0.0 kmpl|1086 CC|null bhp|5.0|1300.0
5427|Maruti Wagon R VXI AMT|2016|30000|Petroleo|Automatico|Primer|22.5 kmpl|998 CC|67 bhp|5.0|4250.0
5428|Mahindra XUV500 W10 2WD|2018|29907|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|16360.0
5429|Audi A4 2.0 TDI|2009|46000|Diesel|Automatico|Primer|16.55 kmpl|1968 CC|147.51 bhp|5.0|9950.0
5430|Volkswagen Vento Diesel Highline|2012|65000|Diesel|Manual|Primer|20.54 kmpl|1598 CC|103.6 bhp|5.0|5500.0
5431|Maruti Vitara Brezza ZDi Plus Dual Tone|2016|22000|Diesel|Manual|Primer|24.3 kmpl|1248 CC|88.5 bhp|5.0|8250.0
5432|Maruti Zen LX|2002|99024|Petroleo|Manual|Primer|17.3 kmpl|993 CC|60 bhp|5.0|950.0
5433|Hyundai i10 Era|2016|34952|Petroleo|Manual|Primer|19.81 kmpl|1086 CC|68.05 bhp|5.0|4010.0
5434|Honda WR-V Edge Edition i-VTEC S|2019|13913|Petroleo|Manual|Primer|17.5 kmpl|1199 CC|88.7 bhp|5.0|8200.0
5435|Honda City i DTEC VX|2014|71000|Diesel|Manual|Segundo|25.1 kmpl|1498 CC|98.6 bhp|5.0|6200.0
5436|Toyota Fortuner 4x2 4 Speed AT|2012|97000|Diesel|Automatico|Primer|11.5 kmpl|2982 CC|169 bhp|7.0|16750.0
5437|Mahindra XUV500 AT W10 FWD|2017|21000|Diesel|Automatico|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|16500.0
5438|Ford Endeavour XLT TDCi 4X4|2007|116000|Diesel|Manual|Tercer|10.9 kmpl|2499 CC|null bhp|7.0|3750.0
5439|Ford Figo Diesel ZXI|2012|110438|Diesel|Manual|Primer|20.0 kmpl|1399 CC|68.05 bhp|5.0|3500.0
5440|Honda Jazz 1.2 V CVT i VTEC|2017|66507|Petroleo|Automatico|Segundo|19.0 kmpl|1199 CC|88.7 bhp|5.0|5430.0
5441|Ford Endeavour 3.2 Titanium AT 4X4|2017|54650|Diesel|Automatico|Primer|10.91 kmpl|3198 CC|197 bhp|7.0|30350.0
5442|Nissan Sunny XL CVT|2014|32000|Petroleo|Automatico|Primer|17.97 kmpl|1498 CC|99.6 bhp|5.0|7990.0
5443|Skoda Octavia Ambiente 1.9 TDI MT|2011|75378|Diesel|Manual|Primer|18.7 kmpl|1896 CC|66 bhp|5.0|3590.0
5444|Chevrolet Beat Diesel LT|2012|82697|Diesel|Manual|Primer|25.44 kmpl|936 CC|57.6 bhp|5.0|1900.0
5445|Toyota Camry W2 (AT)|2009|135000|Petroleo|Automatico|Primer|12.1 kmpl|2362 CC|164.7 bhp|5.0|4700.0
5446|Renault Duster 110PS Diesel RxZ|2012|149000|Diesel|Manual|Primer|19.01 kmpl|1461 CC|108.45 bhp|5.0|7250.0
5447|Mercedes-Benz GLA Class 200 d Style|2016|26212|Diesel|Automatico|Primer|17.9 kmpl|2143 CC|136 bhp|5.0|24460.0
5448|Tata Zest Revotron 1.2T XMS|2014|23500|Petroleo|Manual|Segundo|17.57 kmpl|1193 CC|88.7 bhp|5.0|3900.0
5449|Hyundai i20 1.2 Magna|2013|56127|Petroleo|Manual|Primer|18.5 kmpl|1197 CC|80 bhp|5.0|5150.0
5450|Maruti Wagon R VXI AMT1.2|2015|26000|Petroleo|Automatico|Primer|21.5 kmpl|1197 CC|81.80 bhp|5.0|3650.0
5451|Hyundai Xcent 1.2 CRDi S|2016|26000|Diesel|Manual|Primer|25.4 kmpl|1186 CC|73.97 bhp|5.0|5000.0
5452|Honda City 1.5 S MT|2009|42000|Petroleo|Manual|Primer|17.0 kmpl|1497 CC|118 bhp|5.0|2300.0
5453|Hyundai Accent GLE|2001|130000|Petroleo|Manual|Segundo|13.2 kmpl|1495 CC|94 bhp|5.0|750.0
5454|Hyundai Verna Xi (Petrol)|2009|137148|Petroleo|Manual|Segundo|13.9 kmpl|1599 CC|103.2 bhp|5.0|1850.0
5455|Ford Figo Petrol ZXI|2010|114703|Petroleo|Manual|Primer|15.6 kmpl|1196 CC|70 bhp|5.0|1800.0
5456|Honda Amaze S i-Dtech|2014|97439|Diesel|Manual|Primer|25.8 kmpl|1498 CC|98.6 bhp|5.0|4410.0
5457|Maruti Wagon R LX BSII|2006|40000|Petroleo|Manual|Primer|18.9 kmpl|998 CC|67.1 bhp|5.0|2000.0
5458|Maruti Swift VDI BSIV|2014|81609|Diesel|Manual|Primer|17.8 kmpl|1248 CC|null bhp|5.0|5550.0
5459|Mercedes-Benz E-Class Facelift|2014|28000|Diesel|Automatico|Primer|13.0 kmpl|2987 CC|258 bhp|5.0|31750.0
5460|Audi A6 2011-2015 35 TDI Technology|2015|37500|Diesel|Automatico|Primer|17.68 kmpl|1968 CC|174.33 bhp|5.0|32000.0
5461|Mercedes-Benz S Class 2005 2013 S 350 CDI|2010|37000|Diesel|Automatico|Primer|13.5 kmpl|2987 CC|282 bhp|5.0|21000.0
5462|Maruti Swift Dzire LDi|2010|83000|Diesel|Manual|Primer|19.3 kmpl|1248 CC|73.9 bhp|5.0|2750.0
5463|Toyota Corolla H2|2005|79012|Petroleo|Manual|Primer|13.4 kmpl|1794 CC|125 bhp|5.0|2640.0
5464|Mahindra Scorpio S10 7 Seater|2018|27395|Diesel|Manual|Primer|15.4 kmpl|2179 CC|120 bhp|7.0|14190.0
5465|Maruti Wagon R VXI|2017|35362|Petroleo|Manual|Primer|22.5 kmpl|998 CC|67.04 bhp|5.0|3850.0
5466|Toyota Fortuner 4x2 Manual|2014|117000|Diesel|Manual|Primer|13.0 kmpl|2982 CC|168.5 bhp|7.0|15500.0
5467|Maruti Zen Estilo 1.1 LX BSIII|2010|23000|Petroleo|Manual|Primer|18.2 kmpl|1061 CC|64 bhp|5.0|1900.0
5468|Tata Nano CX|2014|59508|Petroleo|Manual|Primer|25.4 kmpl|624 CC|37.48 bhp|4.0|1260.0
5469|Hyundai i20 Magna|2009|69000|Petroleo|Manual|Segundo|18.5 kmpl|1197 CC|80 bhp|5.0|2400.0
5470|BMW 3 Series 320d|2010|58000|Diesel|Automatico|Primer|22.69 kmpl|1995 CC|190 bhp|5.0|11500.0
5471|Mahindra XUV500 W6 2WD|2014|88511|Diesel|Manual|Primer|16.0 kmpl|2179 CC|140 bhp|7.0|8250.0
5472|Volkswagen Vento IPL II Petrol Trendline|2011|66000|Petroleo|Manual|Primer|15.8 kmpl|1598 CC|105 bhp|5.0|2750.0
5473|Skoda Fabia 1.2 MPI Classic|2009|65000|Petroleo|Manual|Segundo|17.5 kmpl|1198 CC|70 bhp|5.0|1400.0
5474|Tata Nano Twist XT|2015|30676|Petroleo|Manual|Primer|25.4 kmpl|624 CC|37.5 bhp|4.0|2900.0
5475|Ford Figo Diesel EXI|2011|76000|Diesel|Manual|Primer|20.0 kmpl|1399 CC|68 bhp|5.0|2400.0
5476|Volkswagen Vento IPL II Petrol Highline AT|2013|23627|Petroleo|Automatico|Primer|14.8 kmpl|1598 CC|105 bhp|5.0|4750.0
5477|Land Rover Range Rover HSE Dynamic|2018|52827|Diesel|Automatico|Primer|12.7 kmpl|2179 CC|187.7 bhp|5.0|44760.0
5478|Honda City i DTEC SV|2015|64465|Diesel|Manual|Primer|26.0 kmpl|1498 CC|98.6 bhp|5.0|6220.0
